accommodationId,accommodationName,addr1,addr2,addr3,addrNew,homepage,phoneNo,repName
14523,산과들에펜션,경기,가평군,청평면,청평면 모꼬지로 19,,010-****-**61,
14528,방울방울키즈풀빌라,충남,태안군,안면읍,안면읍 흑석동길 97-30,www.방울방울.kr,010-****-**52,장*정
14532,속초 비로소 봄,강원,속초시,장사동,장성천길 61-33 (장사동),birosops.com,010-****-**43,이*민
14533,실시간예약달력-dp,경기,안산시 단원구,대부남동,부흥로 287-68 (대부남동),황금바다펜션.com,010-****-**50,조*성
14534,해바라기애견펜션,충남,태안군,안면읍,안면읍 꽃지1길 185-12,,010-****-**85,
14535,오천스테이,경북,성주군,수륜면,수륜면 오천4길 14-10,,010-****-**93,
14536,가평 한옥마을 가평재,경기,가평군,상면,상면 원흥길 76-8,한옥풀빌라가평재.com,010-****-**90,이*례
14537,천년의아침,전북,전주시 완산구,풍남동3가,기린대로 71-1 (풍남동3가),1000stay.kr,010-****-**92,김*열
14538,속초 비로소 여름,강원,속초시,장사동,장성천길 61-27 (장사동),birosops.com,010-****-**98,이*민
14539,사용X,경기,가평군,북면,북면 가화로 1462-6,kkoristar.kr,010-****-**95,정*례
14540,안면도덤앤더머해루질스파펜션,충남,태안군,안면읍,안면읍 삼봉길 110-5,sannaedle.infotown.kr,010-****-**52,김*호
14548,호랑이캠핑 산정호수점,경기,포천시,영북면,영북면 새낭로 919,tiger-camping.com,010-****-**35,최*헌
14549,또또키즈풀빌라,경기,가평군,상면,상면 돌아우길 25-51,xn--961ba660m8vg.com,010-****-**30,김*희
14550,거제도 하이엔드 스파앤풀빌라 펜션,경남,거제시,장목면,장목면 율천두모로 154-50,www.highendps.kr,010-****-**56,박*우
